Name,First Name,Last Name,Email,Country Code,Local Phone Number
Lungile Nelson,Lungile,Nelson,kagiso.wolmarans@webmail.co.za,27,284701729
Cheryl Mulaudzi,Cheryl,Mulaudzi,ashley02@mazibuko.wcape.school.za,27,567245421
Stephan Conradie,Stephan,Conradie,kabelo.baker@koekemoer.wcape.school.za,27,124743623
Joyce Shongwe,Joyce,Shongwe,dutoit.arthur@visser.co.za,27,179979064
Julia Malan,Julia,Malan,elaine.mthethwa@hotmail.com,27,446382854
Palesa Turner,Palesa,Turner,motsepe.joyce@yahoo.com,27,288841582
Your Cronje,Your,Cronje,matthews.nico@oberholzer.edu.za,27,562540884
nosipho Ngwenya,nosipho,Ngwenya,andiswa33@greyling.ncape.school.za,27,363058509
Andries Mhlongo,Andries,Mhlongo,hlatshwayo.lisa@gmail.com,27,583952944
Phillip Baker,Phillip,Baker,roger34@kleynhans.ncape.school.za,27,488133149
Nicolaas Adam,Nicolaas,Adam,adams.mashudu@gmail.com,27,574761764
Mary Tladi,Mary,Tladi,mmthembu@maluleke.ecape.school.za,27,365445533
Kabelo Scott,Kabelo,Scott,kleynhans.janine@gmail.com,27,422998210
Clifford van Deventer,Clifford,van Deventer,rhenning@hotmail.com,27,511451974
Jacques Pretorius,Jacques,Pretorius,msibi.linda@vodamail.co.za,27,316787477
Tshegofatso Magagula,Tshegofatso,Magagula,abigail23@manamela.ecape.school.za,27,247716253
Nicholas Nxumalo,Nicholas,Nxumalo,refiloe.bennett@swart.agric.za,27,477899440
Wynand van der Walt,Wynand,van der Walt,cecilia08@horn.co.za,27,182034720
Adriaan Evans,Adriaan,Evans,ahmed.alberts@ntombela.co.za,27,442593465
Nicole Snyman,Nicole,Snyman,brown.fatima@cilliers.ecape.school.za,27,347245936
Jeffrey Street,Jeffrey,Street,bruce50@fortuin.nw.school.za,27,337638328
Nicole Manamela,Nicole,Manamela,kumalo.theresa@walters.law.za,27,360381004
Nomfundo Roux,Nomfundo,Roux,dmashigo@booysen.net.za,27,367787809
Louise Motloung,Louise,Motloung,rachel.mncube@hughes.agric.za,27,139345393
Daniel Brand,Daniel,Brand,zmajola@legodi.co.za,27,577687042
Karabo Venter,Karabo,Venter,janet53@hotmail.com,27,573714268
Julian Swartz,Julian,Swartz,harmse.marthinus@gmail.com,27,585533228
takalani Matlala,takalani,Matlala,radebe.aubrey@pietersen.ac.za,27,234291739
Dimakatso Malan,Dimakatso,Malan,khosa.sipho@jansevanrensburg.kzn.school.za,27,424150984
Thapelo Mahomed,Thapelo,Mahomed,bezuidenhout.jerome@gmail.com,27,453250017
Russell Nkosi,Russell,Nkosi,vosloo.stephanie@hotmail.com,27,242357849
Riaan Wood,Riaan,Wood,martha.govender@shongwe.net.za,27,548785253
nonhlanhla Morris,nonhlanhla,Morris,hshabangu@yahoo.com,27,536848362
yolandi Naicker,yolandi,Naicker,unathi30@makhanya.ac.za,27,323079777
Yvette Gouws,Yvette,Gouws,vandyk.andre@vodamail.co.za,27,338968671
Ben Taljaard,Ben,Taljaard,thulani.erasmus@dladla.kzn.school.za,27,351199713
Kelebogile Lombard,Kelebogile,Lombard,johannes.kelly@vodamail.co.za,27,547867452
Rudi Prinsloo,Rudi,Prinsloo,kelebogile32@webmail.co.za,27,485731123
Ernest van den Heever,Ernest,van den Heever,vanderberg.kagiso@scott.org.za,27,544515333
Sarah Nkuna,Sarah,Nkuna,megan67@jansen.wcape.school.za,27,125265949
Daniel Booysen,Daniel,Booysen,johannes56@taljaard.co.za,27,447427938
Rene Bennett,Rene,Bennett,zandile09@mkhize.web.za,27,575546427
Taryn Herbst,Taryn,Herbst,shaun.stevens@naidu.com,27,327454248
Wynand Adam,Wynand,Adam,bester.irene@mitchell.ncape.school.za,27,441108047
To  Watson,To, Watson,teboho69@mashinini.grondar.za,27,367827341
personal Van Den Berg,personal,Van Den Berg,nkosinathi.nkosi@hotmail.com,27,133930099
Yolandi Simpson,Yolandi,Simpson,bothma.emmanuel@vermaak.ncape.school.za,27,173768070
Gabriel Slabbert,Gabriel,Slabbert,govender.lawrence@hotmail.com,27,498204480
Sean Potgieter,Sean,Potgieter,shaun84@webmail.co.za,27,284331024
Jacobus Malatji,Jacobus,Malatji,dumisani.arendse@webmail.co.za,27,566912492
Emmanuel Govender,Emmanuel,Govender,adrian54@webmail.co.za,27,232687528
Simon Vermaak,Simon,Vermaak,barry.hughes@motaung.nw.school.za,27,121671809
Jeffrey Swanepoel,Jeffrey,Swanepoel,zuma.barry@yahoo.com,27,560212302
Frans Mazibuko,Frans,Mazibuko,ntshangase.daniel@yahoo.com,27,321064781
Andiswa Mtsweni,Andiswa,Mtsweni,louw.heather@harrison.grondar.za,27,235298559
zandile Schmidt,zandile,Schmidt,nel.thomas@yahoo.com,27,575191694
Richard Manamela,Richard,Manamela,dasilva.babalwa@fisher.lp.school.za,27,566544048
Andiswa Koekemoer,Andiswa,Koekemoer,riaan.mkhize@yahoo.com,27,544735446
Michael Naudé,Michael,Naudé,steven.mokwena@mbatha.web.za,27,366312675
Hannes Greyling,Hannes,Greyling,gventer@uys.ncape.school.za,27,359969352
Lisa Masilela,Lisa,Masilela,joe.james@yahoo.com,27,567864751
Henry Müller,Henry,Müller,qjordaan@scheepers.mpm.za,27,281561633
bulelwa Skosana,bulelwa,Skosana,cooper.fatima@vermeulen.grondar.za,27,543631783
Ashley Du Preez,Ashley,Du Preez,green.thapelo@harmse.lp.school.za,27,334767947
Lungile Vilakazi,Lungile,Vilakazi,judith.molefe@hotmail.com,27,419167187
Nozipho Maake,Nozipho,Maake,gabriel.mohale@miller.lp.school.za,27,413402808
Craig Shabalala,Craig,Shabalala,ismail.abraham@hotmail.com,27,573039248
Steve Strydom,Steve,Strydom,william.vanzyl@munyai.gov.za,27,235685224
Beverley du Plessis,Beverley,du Plessis,yvonne32@mahomed.co.za,27,280610494
Elizabeth Masemola,Elizabeth,Masemola,evans.kagiso@gmail.com,27,137647044
Roxanne Phiri,Roxanne,Phiri,mudau.unathi@loubser.ecape.school.za,27,168858925
Monique Joubert,Monique,Joubert,colleen33@palmer.edu.za,27,429414335
Denise Langa,Denise,Langa,details.your@gmail.com,27,117954882
Sydney Pillay,Sydney,Pillay,ehughes@gmail.com,27,271896084
Contact  Davis,Contact, Davis,susan60@webmail.co.za,27,346451378
Douglas Groenewald,Douglas,Groenewald,desiree63@maphumulo.ecape.school.za,27,349136700
John Arendse,John,Arendse,pienaar.gugu@gmail.com,27,412461682
nonhlanhla van der Westhuizen,nonhlanhla,van der Westhuizen,xharrison@vermaak.grondar.za,27,362707470
Teboho De Bruyn,Teboho,De Bruyn,jthompson@vodamail.co.za,27,369114025
Riaan Barnes,Riaan,Barnes,nicola.kriel@webmail.co.za,27,562673200
karabo Taylor,karabo,Taylor,roger28@hotmail.com,27,347416691
Your Ahmed,Your,Ahmed,rvanderberg@letsoalo.ncape.school.za,27,454525983
Greg Neethling,Greg,Neethling,jean22@webmail.co.za,27,363947575
Sam Moodley,Sam,Moodley,nkuna.thando@mostert.com,27,534979510
Debbie van Niekerk,Debbie,van Niekerk,patience.manamela@hotmail.com,27,176492484
Gideon Vilakazi,Gideon,Vilakazi,ilawrence@webmail.co.za,27,359359011
Darren Van Schalkwyk,Darren,Van Schalkwyk,takalani91@gmail.com,27,182864759
John Buys,John,Buys,njordaan@hotmail.com,27,364957917
Judith Peter,Judith,Peter,johann.mathebula@nieuwoudt.com,27,358875545
Marlene Meyer,Marlene,Meyer,itumeleng.hendricks@taljaard.wcape.school.za,27,450893859
Benjamin Benjamin,Benjamin,Benjamin,masilela.grant@vodamail.co.za,27,567771850
Lynn van der Linde,Lynn,van der Linde,gabriel.baloyi@hotmail.com,27,532689879
Jabulani Masuku,Jabulani,Masuku,nicolaas75@webmail.co.za,27,420514693
Gert Motloung,Gert,Motloung,ismail.william@masemola.fs.school.za,27,485869209
Jeremy Hlongwane,Jeremy,Hlongwane,dineo10@yahoo.com,27,127624924
Karin Henning,Karin,Henning,natasha.bell@details.ac.za,27,323589594
Thulani Maake,Thulani,Maake,pierre.coetzee@coetzer.law.za,27,139071480
Francis Peter,Francis,Peter,henry97@park.gov.za,27,445024845
Martha Hughes,Martha,Hughes,nicole07@arendse.nw.school.za,27,351929109
barend Sibisi,barend,Sibisi,siphokazi.dlamini@ngobeni.gp.school.za,27,543912948
Takalani Xaba,Takalani,Xaba,chetty.next@gmail.com,27,561225066
Warren White,Warren,White,julie.debruyn@mbatha.net.za,27,356593490
Andries Chetty,Andries,Chetty,gerrit52@greeff.org.za,27,230070625
Malcolm Shabangu,Malcolm,Shabangu,oberholzer.hannes@yahoo.com,27,453130464
Donald Maree,Donald,Maree,kumar.tracey@dupreez.nom.za,27,337154589
Edward van Tonder,Edward,van Tonder,kabelo29@botes.gov.za,27,110125500
Judith Bester,Judith,Bester,karabo.radebe@hotmail.com,27,573907853
Peter Watson,Peter,Watson,beukes.lucas@vodamail.co.za,27,275430207
Rob September,Rob,September,shawn.brown@mpofu.agric.za,27,518772243
Barend Williams,Barend,Williams,pather.werner@yahoo.com,27,131344944
Victoria Buys,Victoria,Buys,mamabolo.thembi@magagula.co.za,27,111095599
Shaun Cilliers,Shaun,Cilliers,justin.mchunu@mlangeni.lp.school.za,27,567236357
Kagiso Masango,Kagiso,Masango,hattingh.julia@gmail.com,27,311316149
Yvette Basson,Yvette,Basson,ntwala@engelbrecht.net,27,431558763
Busisiwe Move,Busisiwe,Move,nicolene32@williams.fs.school.za,27,477370429
Alan Khoza,Alan,Khoza,ckhoza@moloto.ac.za,27,162188853
Musa Nxumalo,Musa,Nxumalo,nkosi.cynthia@tladi.net.za,27,514453414
Daniel Mashele,Daniel,Mashele,vanvuuren.gerald@yahoo.com,27,459800800
kelebogile Magagula,kelebogile,Magagula,mabunda.asanda@hotmail.com,27,362144046
Thulani Roos,Thulani,Roos,janet.palmer@yahoo.com,27,131919220
Thando Cilliers,Thando,Cilliers,groenewald.zandile@oberholzer.nom.za,27,220731632
Warren De Wet,Warren,De Wet,wnzimande@yahoo.com,27,433243771
Mr.  Zwane,Mr., Zwane,ronel02@webmail.co.za,27,491801359
Thembi Mnisi,Thembi,Mnisi,mohlala.nthabiseng@bennett.law.za,27,270104137
Cornelius Swanepoel,Cornelius,Swanepoel,albert05@motloung.org.za,27,274049893
Andrea Mtsweni,Andrea,Mtsweni,maphumulo.elaine@mphahlele.ac.za,27,272956638
Nathan Khan,Nathan,Khan,cbooysen@vorster.grondar.za,27,212607687
Alexander Moosa,Alexander,Moosa,mario.moloi@vanaswegen.co.za,27,133525599
karabo Pieterse,karabo,Pieterse,sizwe.anthony@kekana.net,27,160468148
Adrian Sibanda,Adrian,Sibanda,personal34@gmail.com,27,184317456
Ronald Naidu,Ronald,Naidu,engelbrecht.sifiso@debeer.law.za,27,571706194
Asanda Maluleke,Asanda,Maluleke,carel.potgieter@yahoo.com,27,275836149
David Zulu,David,Zulu,marthinus.vorster@motsepe.net,27,354645808
Contact  Muller,Contact, Muller,vanderwesthuizen.vuyokazi@khanyile.nis.za,27,272643694
Nick Rautenbach,Nick,Rautenbach,jacobs.julie@yahoo.com,27,231765533
refiloe Mokoena,refiloe,Mokoena,yolandi.ngwenya@grobler.fs.school.za,27,311201511
Ursula Barnes,Ursula,Barnes,taylor.jacobus@hotmail.com,27,249694653
Vanessa Kleynhans,Vanessa,Kleynhans,amokone@maleka.gov.za,27,368236804
Heather Hadebe,Heather,Hadebe,terence28@vodamail.co.za,27,124100167
Nosipho Lee,Nosipho,Lee,priscilla81@davids.school.za,27,327798798
Andiswa Kunene,Andiswa,Kunene,thulani08@gmail.com,27,275248484
Mashudu Vermeulen,Mashudu,Vermeulen,robertson.sizwe@gmail.com,27,473875465
Maria Joseph,Maria,Joseph,ngema.david@vodamail.co.za,27,186626388
Craig Phillips,Craig,Phillips,gordon.vorster@vodamail.co.za,27,570954784
Kevin Johnson,Kevin,Johnson,bphiri@nhlapo.ncape.school.za,27,273065027
Melanie Joubert,Melanie,Joubert,chantelle60@gmail.com,27,322949932
Jeanette  Minnaar,Jeanette, Minnaar,garth.moosa@simelane.co.za,27,246111396
sello Lee,sello,Lee,donald.move@patel.co.za,27,349370620
Nompumelelo van Niekerk,Nompumelelo,van Niekerk,lisa72@dewet.web.za,27,468928974
Musa Nel,Musa,Nel,vletsoalo@nelson.gp.school.za,27,164005116
Hannes Petersen,Hannes,Petersen,rwalters@yahoo.com,27,279939466
kagiso Mkhwanazi,kagiso,Mkhwanazi,scheepers.mr@grobler.kzn.school.za,27,184819542
Thulani Buthelezi,Thulani,Buthelezi,dmabuza@makhanya.com,27,229224765
Dumisani Mathe,Dumisani,Mathe,debbie17@gmail.com,27,463011926
Mandisa Mudau,Mandisa,Mudau,kgrobler@mulder.com,27,369200241
Alan Khanyile,Alan,Khanyile,yolandi23@yahoo.com,27,362786041
Craig Mouton,Craig,Mouton,auys@mostert.mil.za,27,577353286
Lorraine Neethling,Lorraine,Neethling,gwood@sibanda.nom.za,27,164619728
Roxanne Details,Roxanne,Details,fisher.maureen@hlongwane.wcape.school.za,27,246770647
Siphokazi Shongwe,Siphokazi,Shongwe,liezel57@mohamed.wcape.school.za,27,432041422
Thembi Maluleka,Thembi,Maluleka,lloyd.moosa@gmail.com,27,455079004
Monica Hlongwane,Monica,Hlongwane,exaba@goosen.net.za,27,163587004
Trevor Boshoff,Trevor,Boshoff,contact83@hotmail.com,27,241219890
Bongiwe Slabbert,Bongiwe,Slabbert,lorraine.vilakazi@yahoo.com,27,334380319
Morne Zwane,Morne,Zwane,yvonne02@gmail.com,27,410429898
Lerato Twala,Lerato,Twala,carstens.andre@wessels.nw.school.za,27,350689116
Nathan Govender,Nathan,Govender,nelson.johannes@vodamail.co.za,27,427815134
Philip Richards,Philip,Richards,mandisa95@hotmail.com,27,450554335
Lloyd Stewart,Lloyd,Stewart,qsibeko@vodamail.co.za,27,549360037
Victor Legodi,Victor,Legodi,rcronje@vodamail.co.za,27,472470069
Justin Schmidt,Justin,Schmidt,johanna85@duma.org.za,27,519339204
Veronica Zwane,Veronica,Zwane,gmaphumulo@motloung.ncape.school.za,27,569368131
Vuyokazi Adam,Vuyokazi,Adam,zgoosen@yahoo.com,27,411656780
Rudi Sibiya,Rudi,Sibiya,mlangeni.jennifer@vodamail.co.za,27,311857151
Gordon Majola,Gordon,Majola,nonhlanhla.kriel@yahoo.com,27,544729773
Nick Salie,Nick,Salie,kjohnson@maphumulo.ac.za,27,548790331
Siyabonga Merwe,Siyabonga,Merwe,oshabalala@yahoo.com,27,351816676
Monique Nhlapo,Monique,Nhlapo,mashaba.candice@may.agric.za,27,568688802
Malcolm De Wet,Malcolm,De Wet,hgounden@buys.ncape.school.za,27,542597769
Raymond Motaung,Raymond,Motaung,sipho00@yahoo.com,27,540007299
Anne Joubert,Anne,Joubert,scheepers.nomfundo@vodamail.co.za,27,151433771
Brent Maseko,Brent,Maseko,igreeff@devilliers.agric.za,27,114792635
Sean Sithole,Sean,Sithole,tnxumalo@vodamail.co.za,27,329696891
Frederick Mabuza,Frederick,Mabuza,naude.sibusiso@white.org.za,27,175457188
Danie Van Jaarsveld,Danie,Van Jaarsveld,nozipho34@jonker.web.za,27,277947433
Frank Pillay,Frank,Pillay,xallie@koen.co.za,27,156353944
Linda Mabena,Linda,Mabena,dumisani79@vodamail.co.za,27,344283543
Teboho Watson,Teboho,Watson,vmazibuko@vodamail.co.za,27,141385427
Alison Morgan,Alison,Morgan,christiaan08@yahoo.com,27,531361927
Celeste Butler,Celeste,Butler,lombard.brent@claassen.ac.za,27,356838338
Nthabiseng Ferreira,Nthabiseng,Ferreira,xmaharaj@gmail.com,27,458601585
Lebohang Mphahlele,Lebohang,Mphahlele,sntshangase@webmail.co.za,27,324730471
Nicola Pretorius,Nicola,Pretorius,hvisser@solomon.school.za,27,117208000
Ingrid Miller,Ingrid,Miller,bernard.oosthuizen@lewis.net.za,27,336050552
Mandisa Greyling,Mandisa,Greyling,svisagie@louw.gp.school.za,27,227670599
Mark Jacobs,Mark,Jacobs,wright.nhlanhla@yahoo.com,27,126774869
Marius May,Marius,May,makhubela.gary@hotmail.com,27,487095389
Mashudu Naidoo,Mashudu,Naidoo,debbie.twala@vodamail.co.za,27,311340140
Ruth Wright,Ruth,Wright,pearl15@hotmail.com,27,274395523
Themba Thwala,Themba,Thwala,nonhlanhla37@clark.com,27,486299476
Jane van der Westhuizen,Jane,van der Westhuizen,imsibi@jones.co.za,27,586596457
sibongile Padayachee,sibongile,Padayachee,wilson.phumzile@hotmail.com,27,530738387
Bradley Mouton,Bradley,Mouton,makhanya.sifiso@vanzyl.co.za,27,282949358
Dennis Zwane,Dennis,Zwane,lcilliers@webmail.co.za,27,570623489
Tumelo Bouwer,Tumelo,Bouwer,ptaljaard@hugo.com,27,322667237
Fikile Chauke,Fikile,Chauke,carla.ncube@debruyn.mil.za,27,141854940
Lee-ann Van Den Berg,Lee-ann,Van Den Berg,thando47@burger.com,27,347448718
Joe Mashinini,Joe,Mashinini,fvanaswegen@motsepe.com,27,577678891
Gail Potgieter,Gail,Potgieter,jacob.prinsloo@gmail.com,27,578526675
Jabulani Bosman,Jabulani,Bosman,teboho.green@gmail.com,27,485920903
Refiloe Sibisi,Refiloe,Sibisi,hannes.ismail@yahoo.com,27,170115333
Chris Nene,Chris,Nene,teboho34@hotmail.com,27,326273842
Zanele Street,Zanele,Street,sliebenberg@vodamail.co.za,27,185501030
Lindiwe Du Plooy,Lindiwe,Du Plooy,nkomo.margaret@gmail.com,27,488629279
Angela Basson,Angela,Basson,william47@yahoo.com,27,343899161
Eric Mofokeng,Eric,Mofokeng,qconradie@hotmail.com,27,359002226
Shirley Manamela,Shirley,Manamela,gminnaar@yahoo.com,27,270073227
Paul Schoeman,Paul,Schoeman,conradie.terence@neethling.net,27,334178233
Moses De Bruyn,Moses,De Bruyn,deborah.mohlala@shabangu.org.za,27,545480470
Takalani Mthombeni,Takalani,Mthombeni,benjamin.vuyokazi@yahoo.com,27,519683638
Claudia Miya,Claudia,Miya,koekemoer.refiloe@mouton.gov.za,27,289536875
Christo Mchunu,Christo,Mchunu,landerson@yahoo.com,27,135621528
Pearl Hall,Pearl,Hall,ursula79@vodamail.co.za,27,575484999
Tracy Adam,Tracy,Adam,fmkhize@moses.co.za,27,573067500
Ingrid Mashigo,Ingrid,Mashigo,malinga.grant@smith.web.za,27,368798902
takalani Martin,takalani,Martin,jjordaan@vodamail.co.za,27,450803680
Jacqueline Davids,Jacqueline,Davids,frank34@vodamail.co.za,27,228541161
Lebohang Nkosi,Lebohang,Nkosi,garth14@potgieter.co.za,27,282067145
Thandi Solomon,Thandi,Solomon,rene.truter@wentzel.co.za,27,484842695
Clint Roos,Clint,Roos,pmeyer@gmail.com,27,152120880
Kenneth Tsotetsi,Kenneth,Tsotetsi,refiloe.mamabolo@robinson.net,27,358269907
Marc Naudé,Marc,Naudé,desiree.mathe@webmail.co.za,27,117744129
Fikile Reddy,Fikile,Reddy,madlala.martha@vodamail.co.za,27,154223031
Joseph Lourens,Joseph,Lourens,thapelo90@zwane.net,27,350157621
thulani Masango,thulani,Masango,deon.maluleka@nelson.net,27,125122384
André Scott,André,Scott,adele50@williams.net,27,543011794
Etienne Nortje,Etienne,Nortje,ngobeni.innocent@maluleka.nom.za,27,344997075
Belinda Parker,Belinda,Parker,fschoeman@webmail.co.za,27,165603347
Nonkululeko Thompson,Nonkululeko,Thompson,mlambo.tumelo@kekana.gov.za,27,355830359
Steven Moagi,Steven,Moagi,irene22@morris.school.za,27,132125457
Johannes Lombard,Johannes,Lombard,fiona48@hotmail.com,27,182291029
Sarah Kok,Sarah,Kok,unathi42@swanepoel.co.za,27,324551770
Belinda Gumede,Belinda,Gumede,angela.jackson@webmail.co.za,27,166398858
Ian Mokoena,Ian,Mokoena,thulani06@may.lp.school.za,27,491310317
Donovan Skosana,Donovan,Skosana,cstander@morgan.grondar.za,27,475744254
phumzile Langa,phumzile,Langa,bongiwe.ndaba@slabbert.lp.school.za,27,492340509
Zandile Kotze,Zandile,Kotze,jngcobo@yahoo.com,27,288653347
Ntokozo Potgieter,Ntokozo,Potgieter,lucky.dube@nell.grondar.za,27,424377230
nicolaas George,nicolaas,George,shaun40@padayachee.org.za,27,562076506
Gugulethu Opperman,Gugulethu,Opperman,judith.madlala@abrahams.ncape.school.za,27,353835550
Elizabeth Koekemoer,Elizabeth,Koekemoer,khuzwayo.sifiso@fisher.mil.za,27,343623873
Jacob Nhlapo,Jacob,Nhlapo,kabelo88@duma.co.za,27,278078968
Nadia Mathebula,Nadia,Mathebula,simphiwe.bothma@sibeko.kzn.school.za,27,464249856
Zanele Fortuin,Zanele,Fortuin,rzondo@gmail.com,27,130130212
Takalani van der Walt,Takalani,van der Walt,jabulani51@hotmail.com,27,355888453
Precious Anthony,Precious,Anthony,thabang.mdluli@hotmail.com,27,117820486
Lindiwe Moyo,Lindiwe,Moyo,willem48@vodamail.co.za,27,580501861
Nonhlanhla Smit,Nonhlanhla,Smit,julie25@bell.law.za,27,330514854
Cornelius Prinsloo,Cornelius,Prinsloo,anthony.charles@greeff.co.za,27,321261309
Adele Walters,Adele,Walters,personal.moagi@snyman.grondar.za,27,451595733
Carol Maleka,Carol,Maleka,umohale@yahoo.com,27,572311007
Debbie Evans,Debbie,Evans,takalani.scholtz@webmail.co.za,27,178782968
Zama Mbele,Zama,Mbele,karin.claassen@hotmail.com,27,182330487
Charlene Mokone,Charlene,Mokone,sean40@lombard.nis.za,27,364889331
Raymond Mhlanga,Raymond,Mhlanga,heather.vandenheever@hill.nis.za,27,462311643
Precious Ncube,Precious,Ncube,kelebogile48@kotze.nw.school.za,27,163973785
Bradley da Silva,Bradley,da Silva,hannes.wood@hotmail.com,27,454683206
Theresa Khosa,Theresa,Khosa,justin94@webmail.co.za,27,278601137
Peter Kok,Peter,Kok,qledwaba@gmail.com,27,416836421
Nthabiseng Buthelezi,Nthabiseng,Buthelezi,mduma@hotmail.com,27,183473272
Anthea Fortuin,Anthea,Fortuin,sello.joubert@vanjaarsveld.kzn.school.za,27,216857666
Eugene Enslin,Eugene,Enslin,gregory22@move.com,27,491927073
Gabriel Street,Gabriel,Street,christopher.move@cloete.agric.za,27,477319976
